experiment_name,task_family,dataset,molecule,encoder,prior,prior_weight,laplacian_mode,horizon,n,mean,std,stderr,median,min,max,ci95_low,ci95_high,pct_change_vs_none,pct_change_vs_euclidean,pct_change_vs_per_frame,h16_over_h1_mean,notes
rmd17_weight_sweep,rmd17,rmd17,aspirin,flat,none,0.1,per_frame,16,3,0.4171957141,0.2430955445,0.140351278,0.4364646907,0.1650391161,0.6500833353,0.1650391161,0.6500833353,0,75.07766846,189.0812668,3.150293235,partial current weight sweep if n < 3
rmd17_weight_sweep,rmd17,rmd17,aspirin,flat,none,0.1,per_frame,2,3,0.1424004739,0.06754813142,0.03899893186,0.1399648628,0.07610308932,0.2111334697,0.07610308932,0.2111334697,0,-6.850943982,293.0375725,3.150293235,partial current weight sweep if n < 3
rmd17_weight_sweep,rmd17,rmd17,aspirin,flat,none,0.1,per_frame,4,3,0.184256556,0.08358252599,0.04825639388,0.1939212514,0.09626181349,0.2625866029,0.09626181349,0.2625866029,0,6.982817757,273.9334199,3.150293235,partial current weight sweep if n < 3
rmd17_weight_sweep,rmd17,rmd17,aspirin,flat,none,0.1,per_frame,8,3,0.2644809027,0.1322914017,0.07637847639,0.2970180739,0.1189567008,0.3774679333,0.1189567008,0.3774679333,0,44.52067666,253.5789235,3.150293235,partial current weight sweep if n < 3
rmd17_weight_sweep,rmd17,rmd17,aspirin,flat,none,1.0,per_frame,1,3,0.1324307558,0.07074791182,0.04084632594,0.1128925643,0.07350515499,0.2108945481,0.07350515499,0.2108945481,0,-37.06855321,280.3063168,3.150293235,partial current weight sweep if n < 3
rmd17_weight_sweep,rmd17,rmd17,aspirin,flat,none,1.0,per_frame,16,3,0.4171957141,0.2430955445,0.140351278,0.4364646907,0.1650391161,0.6500833353,0.1650391161,0.6500833353,0,29.73625279,189.0812668,3.150293235,partial current weight sweep if n < 3
rmd17_weight_sweep,rmd17,rmd17,aspirin,flat,none,1.0,per_frame,2,3,0.1424004739,0.06754813142,0.03899893186,0.1399648628,0.07610308932,0.2111334697,0.07610308932,0.2111334697,0,-29.5796754,293.0375725,3.150293235,partial current weight sweep if n < 3
rmd17_weight_sweep,rmd17,rmd17,aspirin,flat,none,1.0,per_frame,4,3,0.184256556,0.08358252599,0.04825639388,0.1939212514,0.09626181349,0.2625866029,0.09626181349,0.2625866029,0,-21.86828133,273.9334199,3.150293235,partial current weight sweep if n < 3
rmd17_weight_sweep,rmd17,rmd17,aspirin,flat,none,1.0,per_frame,8,3,0.2644809027,0.1322914017,0.07637847639,0.2970180739,0.1189567008,0.3774679333,0.1189567008,0.3774679333,0,1.363040348,253.5789235,3.150293235,partial current weight sweep if n < 3
rmd17_weight_sweep,rmd17,rmd17,aspirin,flat,spectral,0.001,per_frame,1,3,0.06662473029,0.03266691324,0.01886025115,0.07500466651,0.03058417785,0.09428534651,0.03058417785,0.09428534651,-49.69089326,-16.02057445,91.32871087,3.901904791,partial current weight sweep if n < 3
rmd17_weight_sweep,rmd17,rmd17,aspirin,flat,spectral,0.001,per_frame,16,3,0.2599633544,0.3406754643,0.196689071,0.08689540614,0.04056369847,0.6524309584,0.04056369847,0.6524309584,-37.68791347,43.63041096,80.13256914,3.901904791,partial current weight sweep if n < 3
rmd17_weight_sweep,rmd17,rmd17,aspirin,flat,spectral,0.001,per_frame,2,3,0.08783612059,0.0615831767,0.03555506365,0.0815260245,0.02965093169,0.1523314056,0.02965093169,0.1523314056,-38.31753634,10.09603418,142.4352579,3.901904791,partial current weight sweep if n < 3
rmd17_weight_sweep,rmd17,rmd17,aspirin,flat,spectral,0.001,per_frame,4,3,0.1264967341,0.1233568204,0.07122009344,0.08033328926,0.03287966735,0.2662772457,0.03287966735,0.2662772457,-31.3474989,31.09414142,156.7146453,3.901904791,partial current weight sweep if n < 3
rmd17_weight_sweep,rmd17,rmd17,aspirin,flat,spectral,0.001,per_frame,8,3,0.1841130025,0.2178084157,0.1257517474,0.08393575783,0.03441700156,0.4339862481,0.03441700156,0.4339862481,-30.38703338,55.73779434,146.136778,3.901904791,partial current weight sweep if n < 3
rmd17_weight_sweep,rmd17,rmd17,aspirin,flat,spectral,0.01,per_frame,1,3,0.04199693666,0.007825120019,0.00451783515,0.04517014669,0.03308363,0.04773703327,0.03308363,0.04773703327,-68.28762593,-59.8467809,20.60416179,45.44210601,partial current weight sweep if n < 3
rmd17_weight_sweep,rmd17,rmd17,aspirin,flat,spectral,0.01,per_frame,16,3,1.908429248,1.623978118,0.9376042034,2.338572881,0.1126812249,3.274033636,0.1126812249,3.274033636,357.4421988,1006.098896,1222.379703,45.44210601,partial current weight sweep if n < 3
rmd17_weight_sweep,rmd17,rmd17,aspirin,flat,spectral,0.01,per_frame,2,3,0.05025503375,0.01433755946,0.008277793813,0.0558552585,0.03396256342,0.06094727933,0.03396256342,0.06094727933,-64.70866117,-51.03997041,38.70822145,45.44210601,partial current weight sweep if n < 3
rmd17_weight_sweep,rmd17,rmd17,aspirin,flat,spectral,0.01,per_frame,4,3,0.0766032899,0.03207695101,0.0185196363,0.08132578205,0.0424268849,0.1060572027,0.0424268849,0.1060572027,-58.42574529,-33.80471093,55.46003246,45.44210601,partial current weight sweep if n < 3
