source,domain,item,molecule,topology,prior_weight,horizon,control,graph_mean,control_mean,delta_control_minus_graph,std_delta,pct_graph_lower_than_control,graph_wins,n_pairs,bootstrap_ci_low,bootstrap_ci_high,classification,scale_matched_control,notes
cycle4_ho_lambda_robustness,HO,scalefree,,scalefree,0.050000,32,permuted_graph,0.023326,0.017502,-0.005824,0.006720,-33.2765,1,3,-0.013103,0.000142,control_better_or_equivalent,yes,permuted control is Laplacian-spectrum matched to true graph
cycle4_ho_lambda_robustness,HO,scalefree,,scalefree,0.050000,32,random_graph,0.023326,0.017386,-0.005940,0.006463,-34.1676,0,3,-0.013269,-0.001057,control_better_or_equivalent,no,random control matches broad graph size/edge count but not full spectrum
cycle5_ho_lattice_bridge,HO,lattice,,lattice,0.001000,32,permuted_graph,0.036034,0.031095,-0.004939,0.017252,-15.8822,2,5,-0.017538,0.008551,control_better_or_equivalent,yes,permuted control is Laplacian-spectrum matched to true graph
cycle5_ho_lattice_bridge,HO,lattice,,lattice,0.001000,32,random_graph,0.036034,0.027438,-0.008596,0.013538,-31.3289,1,5,-0.019074,0.001637,control_better_or_equivalent,no,random control matches broad graph size/edge count but not full spectrum
cycle5_ho_lattice_bridge,HO,lattice,,lattice,0.005000,32,permuted_graph,0.033130,0.018893,-0.014237,0.029233,-75.3578,2,5,-0.039180,0.003633,control_better_or_equivalent,yes,permuted control is Laplacian-spectrum matched to true graph
cycle5_ho_lattice_bridge,HO,lattice,,lattice,0.005000,32,random_graph,0.033130,0.019632,-0.013498,0.029397,-68.7539,2,5,-0.039980,0.003981,control_better_or_equivalent,no,random control matches broad graph size/edge count but not full spectrum
cycle5_ho_lattice_bridge,HO,lattice,,lattice,0.010000,32,permuted_graph,0.019297,0.014132,-0.005165,0.012272,-36.5477,1,5,-0.014094,0.005131,control_better_or_equivalent,yes,permuted control is Laplacian-spectrum matched to true graph
cycle5_ho_lattice_bridge,HO,lattice,,lattice,0.010000,32,random_graph,0.019297,0.012875,-0.006423,0.007423,-49.8878,1,5,-0.012054,-0.000454,control_better_or_equivalent,no,random control matches broad graph size/edge count but not full spectrum
cycle5_ho_lattice_bridge,HO,lattice,,lattice,0.050000,32,permuted_graph,0.017898,0.016618,-0.001280,0.003761,-7.7026,2,5,-0.004031,0.001961,control_better_or_equivalent,yes,permuted control is Laplacian-spectrum matched to true graph
cycle5_ho_lattice_bridge,HO,lattice,,lattice,0.050000,32,random_graph,0.017898,0.016857,-0.001041,0.004807,-6.1752,2,5,-0.004315,0.003164,control_better_or_equivalent,no,random control matches broad graph size/edge count but not full spectrum
cycle5_ho_lattice_bridge,HO,lattice,,lattice,0.100000,32,permuted_graph,0.016907,0.019773,0.002866,0.002079,14.4968,4,5,0.001070,0.004210,specificity_supported,yes,permuted control is Laplacian-spectrum matched to true graph
cycle5_ho_lattice_bridge,HO,lattice,,lattice,0.100000,32,random_graph,0.016907,0.019872,0.002965,0.002415,14.9209,4,5,0.000997,0.004635,specificity_supported,no,random control matches broad graph size/edge count but not full spectrum
