source,domain,item,prior_weight,horizon,control,graph_mean,control_mean,S_graph,graph_prior_loss_mean,D_dX_norm_true,D_dX_norm_control,gap_D_dX_norm_control_minus_true,D_X_norm_true,D_X_norm_control,gap_D_X_norm_control_minus_true,gap_R_low_dX_2_true_minus_control,gap_R_low_dX_4_true_minus_control,gap_R_low_dX_8_true_minus_control,gap_R_low_X_2_true_minus_control,gap_R_low_X_4_true_minus_control,gap_R_low_X_8_true_minus_control,gap_trace_control_minus_true,gap_frobenius_control_minus_true,gap_lambda_max_control_minus_true,gap_spectral_gap_control_minus_true
cycle4_ho_lambda_robustness,HO,lattice,0.01,16,random_graph,0.005692990018158324,0.0037291825153968395,-0.0019638075027614845,0.05018186044655051,4.32502980859757,3.5560444615377333,-0.7689853470598367,2.495661704050937,3.5649356018121563,1.0692738977612195,-0.016211748947078358,-0.02903512970406795,-0.07268295758361551,0.0458040164326151,0.20342043796268738,0.21387845400710626,0.0,2.692696333167504,2.4799301937411533,-0.10596337712375947
cycle4_ho_lambda_robustness,HO,lattice,0.01,32,random_graph,0.018150128049051598,0.009800513617746118,-0.00834961443130548,0.05018186044655051,4.32502980859757,3.5560444615377333,-0.7689853470598367,2.495661704050937,3.5649356018121563,1.0692738977612195,-0.016211748947078358,-0.02903512970406795,-0.07268295758361551,0.0458040164326151,0.20342043796268738,0.21387845400710626,0.0,2.692696333167504,2.4799301937411533,-0.10596337712375947
cycle4_ho_lambda_robustness,HO,lattice,0.05,16,permuted_graph,0.004786126483749185,0.005145329344991801,0.0003592028612426166,0.023590095533075294,4.32502980859757,3.572608426219,-0.7524213823785701,2.495661704050937,3.5291063656156627,1.033444661564726,-0.011168479929966913,-0.027103516507585593,-0.07215149524573847,0.05081264258635587,0.20339889525463312,0.21172597623990885,0.0,-7.105427357601002e-15,0.0,0.0
cycle4_ho_lambda_robustness,HO,lattice,0.05,32,permuted_graph,0.016561011447467737,0.016609680735402636,4.866928793489933e-05,0.023590095533075294,4.32502980859757,3.572608426219,-0.7524213823785701,2.495661704050937,3.5291063656156627,1.033444661564726,-0.011168479929966913,-0.027103516507585593,-0.07215149524573847,0.05081264258635587,0.20339889525463312,0.21172597623990885,0.0,-7.105427357601002e-15,0.0,0.0
cycle4_ho_lambda_robustness,HO,lattice,0.05,16,random_graph,0.004786126483749185,0.005300015004144774,0.0005138885203955891,0.023590095533075294,4.32502980859757,3.5560444615377333,-0.7689853470598367,2.495661704050937,3.5649356018121563,1.0692738977612195,-0.016211748947078358,-0.02903512970406795,-0.07268295758361551,0.0458040164326151,0.20342043796268738,0.21387845400710626,0.0,2.692696333167504,2.4799301937411533,-0.10596337712375947
cycle4_ho_lambda_robustness,HO,lattice,0.05,32,random_graph,0.016561011447467737,0.017306431144889858,0.0007454196974221207,0.023590095533075294,4.32502980859757,3.5560444615377333,-0.7689853470598367,2.495661704050937,3.5649356018121563,1.0692738977612195,-0.016211748947078358,-0.02903512970406795,-0.07268295758361551,0.0458040164326151,0.20342043796268738,0.21387845400710626,0.0,2.692696333167504,2.4799301937411533,-0.10596337712375947
cycle4_ho_lambda_robustness,HO,scalefree,0.001,16,permuted_graph,0.00848394570251306,0.012660911242063673,0.004176965539550614,0.23367279457549253,7.149613225458169,3.9276123093852804,-3.2220009160728886,3.6150129595271605,3.920647086702445,0.3056341271752845,-0.005288323555451039,-0.035133378147837624,-0.07970070865158557,0.04368864577881415,0.027113479904375973,0.04379908888182718,0.0,0.0,-3.552713678800501e-15,-1.1102230246251565e-16
cycle4_ho_lambda_robustness,HO,scalefree,0.001,32,permuted_graph,0.0230324031241859,0.03535335029785832,0.012320947173672419,0.23367279457549253,7.149613225458169,3.9276123093852804,-3.2220009160728886,3.6150129595271605,3.920647086702445,0.3056341271752845,-0.005288323555451039,-0.035133378147837624,-0.07970070865158557,0.04368864577881415,0.027113479904375973,0.04379908888182718,0.0,0.0,-3.552713678800501e-15,-1.1102230246251565e-16
cycle4_ho_lambda_robustness,HO,scalefree,0.001,16,random_graph,0.00848394570251306,0.013391702248352682,0.004907756545839623,0.23367279457549253,7.149613225458169,3.9603422822077863,-3.1892709432503827,3.6150129595271605,3.917993438935679,0.30298047940851847,-0.0077874704156006575,-0.03506583731458368,-0.07566375324198191,0.040132774364088214,0.02451816970745998,0.04217175086502814,0.0,-4.28568789888287,-5.243480251921877,-0.5041619790642089
cycle4_ho_lambda_robustness,HO,scalefree,0.001,32,random_graph,0.0230324031241859,0.0392896244302392,0.0162572213060533,0.23367279457549253,7.149613225458169,3.9603422822077863,-3.1892709432503827,3.6150129595271605,3.917993438935679,0.30298047940851847,-0.0077874704156006575,-0.03506583731458368,-0.07566375324198191,0.040132774364088214,0.02451816970745998,0.04217175086502814,0.0,-4.28568789888287,-5.243480251921877,-0.5041619790642089
