source,domain,item,molecule,topology,encoder,prior,prior_weight,horizon,mean_rollout_error,std_rollout_error,n,baseline,baseline_mean_rollout_error,pct_gain_vs_baseline,notes
cycle1_aspirin_pilot,rMD17,aspirin,aspirin,,mlp_global,variance,0.100000,1,0.268374,0.091202,5,,,,
cycle1_aspirin_pilot,rMD17,aspirin,aspirin,,mlp_global,variance,0.100000,2,0.261318,0.089370,5,,,,
cycle1_aspirin_pilot,rMD17,aspirin,aspirin,,mlp_global,variance,0.100000,4,0.289220,0.097522,5,,,,
cycle1_aspirin_pilot,rMD17,aspirin,aspirin,,mlp_global,variance,0.100000,8,0.313422,0.120373,5,,,,
cycle1_aspirin_pilot,rMD17,aspirin,aspirin,,mlp_global,variance,0.100000,16,0.427597,0.178773,5,,,,
cycle1_aspirin_pilot,rMD17,aspirin,aspirin,,mlp_global,variance,0.100000,32,0.763021,0.495671,5,,,,
cycle2_rmd17_multimolecule,rMD17,aspirin,aspirin,,gnn_node,graph,0.100000,1,0.003425,0.000697,3,gnn_node:none,0.009480,63.8768,
cycle2_rmd17_multimolecule,rMD17,aspirin,aspirin,,gnn_node,graph,0.100000,2,0.003292,0.000468,3,gnn_node:none,0.009349,64.7903,
cycle2_rmd17_multimolecule,rMD17,aspirin,aspirin,,gnn_node,graph,0.100000,4,0.003879,0.000867,3,gnn_node:none,0.010542,63.2003,
cycle2_rmd17_multimolecule,rMD17,aspirin,aspirin,,gnn_node,graph,0.100000,8,0.005277,0.000770,3,gnn_node:none,0.015853,66.7091,
cycle2_rmd17_multimolecule,rMD17,aspirin,aspirin,,gnn_node,graph,0.100000,16,0.010012,0.001894,3,gnn_node:none,0.029885,66.4974,
cycle2_rmd17_multimolecule,rMD17,aspirin,aspirin,,gnn_node,graph,0.100000,32,0.030592,0.013026,3,gnn_node:none,0.093367,67.2348,
cycle2_rmd17_multimolecule,rMD17,aspirin,aspirin,,gnn_node,none,0.100000,1,0.009480,0.001416,3,,,,
cycle2_rmd17_multimolecule,rMD17,aspirin,aspirin,,gnn_node,none,0.100000,2,0.009349,0.001061,3,,,,
